time,kWh,kW,year,month,day,?,"9,830.07 kWh",??,721.44 kW,??.1,??.2,"2,118.60 kVarh",CO2,4.70 tCO2,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,source_file,"8,900.82 kWh",715.32 kW,"1,645.56 kVarh",4.26 tCO2,"9,818.64 kWh",699.84 kW,"2,094.21 kVarh",4.69 tCO2,"10,455.39 kWh",762.48 kW,"2,339.91 kVarh",5.00 tCO2,"8,543.43 kWh",641.52 kW,"1,552.32 kVarh",4.08 tCO2,"7,029.36 kWh",505.80 kW,"1,359.36 kVarh",3.36 tCO2,"8,550.90 kWh",704.52 kW,"1,805.49 kVarh",4.09 tCO2,"10,012.86 kWh",733.32 kW,"2,048.49 kVarh",4.79 tCO2,"10,463.85 kWh",778.68 kW,"2,193.57 kVarh"
2025-10-29 00:30:00,48.51,194.04,2024.0,12.0,1970-01-01 00:00:00.000000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-29 00:30:00,51.12,204.48,2024.0,12.0,1970-01-01 00:00:00.000000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-29 00:30:00,39.78,159.12,2024.0,11.0,1970-01-01 00:00:00.000000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-29 00:30:00,54.9,219.6,2024.0,12.0,1970-01-01 00:00:00.000000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-29 00:30:00,52.29,209.16,2024.0,11.0,1970-01-01 00:00:00.000000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-29 00:30:00,56.43,225.72,2024.0,12.0,1970-01-01 00:00:00.000000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-29 00:30:00,48.24,192.96,2025.0,2.0,1970-01-01 00:00:00.000000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-29 00:30:00,51.3,205.2,2025.0,1.0,1970-01-01 00:00:00.000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-29 00:30:00,44.01,176.04,2025.0,1.0,1970-01-01 00:00:00.000000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-29 00:30:00,45.45,181.8,2024.0,11.0,1970-01-01 00:00:00.000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-29 00:30:00,53.28,213.12,2024.0,11.0,1970-01-01 00:00:00.000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-29 00:30:00,53.1,212.4,2024.0,11.0,1970-01-01 00:00:00.000000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-29 00:30:00,54.36,217.44,2025.0,1.0,1970-01-01 00:00:00.000000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-29 00:30:00,48.24,192.96,2025.0,1.0,1970-01-01 00:00:00.000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-29 00:30:00,52.74,210.96,2025.0,2.0,1970-01-01 00:00:00.000000020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-29 00:30:00,55.62,222.48,2025.0,2.0,1970-01-01 00:00:00.000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-29 00:30:00,54.81,219.24,2024.0,11.0,1970-01-01 00:00:00.000000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-29 00:30:00,51.48,205.92,2024.0,12.0,1970-01-01 00:00:00.000000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-29 00:30:00,52.47,209.88,2024.0,11.0,1970-01-01 00:00:00.000000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-29 00:30:00,50.85,203.4,2024.0,12.0,1970-01-01 00:00:00.000000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-29 00:30:00,51.12,204.48,2025.0,1.0,1970-01-01 00:00:00.000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-29 00:30:00,50.76,203.04,2024.0,12.0,1970-01-01 00:00:00.000000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-29 00:30:00,47.07,188.28,2025.0,2.0,1970-01-01 00:00:00.000000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-29 00:30:00,55.53,222.12,2024.0,12.0,1970-01-01 00:00:00.000000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-29 00:30:00,57.42,229.68,2025.0,2.0,1970-01-01 00:00:00.000000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-29 00:30:00,47.34,189.36,2024.0,11.0,1970-01-01 00:00:00.000000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-29 00:30:00,46.71,186.84,2024.0,11.0,1970-01-01 00:00:00.000000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-29 00:30:00,48.78,195.12,2025.0,2.0,1970-01-01 00:00:00.000000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-29 00:30:00,50.22,200.88,2024.0,12.0,1970-01-01 00:00:00.000000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-29 00:30:00,54.72,218.88,2025.0,2.0,1970-01-01 00:00:00.000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-29 00:30:00,48.78,195.12,2025.0,1.0,1970-01-01 00:00:00.000000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-29 00:30:00,53.37,213.48,2024.0,12.0,1970-01-01 00:00:00.000000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-29 00:30:00,54.63,218.52,2024.0,12.0,1970-01-01 00:00:00.000000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-29 00:30:00,47.88,191.52,2024.0,11.0,1970-01-01 00:00:00.000000027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
